OBJECTID,PlotID,SiteName,PreviouslyEvaluated,EstablishmentDate,Project,PriorityOrder,SamplingApproach,BaseOver,DesignStratum,MultidensityCategory,FieldOffice,DistrictOffice,AdminState,StateCode,SpeciesState,County,WetlandIndicatorRegion,LRR,ElevationFt,CowardinAttribute,Allotment,DesignLatitudeWGS84,DesignLongitudeWGS84,OfficeEvaluator,EvalStatus,OfficeEvalDate,NotSampledReason,RejectEvidence1,RejectEvidence2,OfficeEvalComments,AccessNotes,DistancefromRoad,PlotLayoutComments,AdditionalGuidanceNeeded,SampleTiming,Monumenting,BLMComments,BLMContact,Hitch,Hitch Notes,CollectWQ,CollectAnnualUse,CollectHummocks,Supplementals,GlobalID,CandidateReference,created_user,created_date,last_edited_user,last_edited_date,x,y
4,CO-LSFO-RW-23518,,No,,CO_NorthwestDO_2024,3,Random,Base,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat,Arid West,D,7036.392926148,PEM1J,,40.9913757537204,-108.778771325837,Madeline Catterson,Rejected - Project manager approved,5/7/2024 6:00:00 AM,Non-target - Uplands,Dominated by upland vegetation includin greasewood and Elymus elymoides.,"Although soil cracks were widespread throughout the splot, there was evidence of cryptobiotic soil forming.","Mapped as PEM, intermittent flooding.","From Dinosaur, head East on US-40 back towards Craig. Turn left on CO-318 W at Maybell then right on CR 10N. Follow CR 10N. Park at intersection of 10N and 167 then walk North ~0.15 miles.",Less than ~0.10 miles,,,,Tablet GPS and photos,,Paula Belcher,1,,Yes,No,No,plant vouchers; soil vouchers,d801f4c9-530f-4264-bacd-c8f8aaeec4a3,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:05 AM,alexa.armstrong7,6/16/2024 10:41:54 PM,-108.778771326,40.991375754
5,CO-LSFO-RW-23519,,No,,CO_NorthwestDO_2024,4,Random,Base,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat,Arid West,D,6881.054314598,Rp1EM,,40.894354163141,-107.513106592325,Madeline Catterson,Rejected - Project manager approved,5/6/2024 6:00:00 AM,Non-target - Uplands,"Dominate species are upland, including Taraxacum officinale, Achillea millefolium, Artemisia species and Poa pratensis.",The plot does not show evidence that it's influenced by ground or surface water.,"Vegetated drainageway, may not be target population depending on species present","From Baggs, WY (most direct from Fort Collins, but can access from Craig), head south on hwy 789 towards the Colorado border. Once across the border, hwy 789 turns into CR 13. Stay on CR 13 for ~ 1.2 miles then turn left (east) on CR 2. Drive east for ~ 4.5 miles then take a sharp right (south) onto CR 101. After about ~4.8 miles, fork left to get on CR 70. Follow CR 70 for about 4 miles until reaching a bridge that crosses willow creek. Park on the right, before thr bridge, to stay on the west side of the creek. Hike ~ 1,600 ft south to the site. There is a two track you can initially follow from the parking location, but does not lead directly to site.","~1,600 ft south from CR 70",,,,Tablet GPS and photos,,Paula Belcher,1,,Yes,No,No,plant vouchers; soil vouchers,35e4f584-81c1-4557-bbd2-f8cc90524b36,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:06 AM,alexa.armstrong7,6/16/2024 10:53:09 PM,-107.513106593,40.8943541630001
6,CO-LSFO-RW-23520,,No,,CO_NorthwestDO_2024,5,Random,Base,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat,Arid West,D,6437.95625937971,Rp1SS,,40.9486329130693,-108.582096156055,Madeline Catterson,Rejected - Project manager approved,5/7/2024 6:00:00 AM,Non-target - Uplands,"Plot dominated by upland vegetation, including greasewood and various Artemisia species.",The plot did not show evidence of being influenced by ground or surface water.,Plot on edge of vegetated drainageway.,"From Dinosaur, Head East on US-40 back towards Craig. Turn left on CO-318 W at Maybell then right on CR 10N. Follow CR 10N into Wyoming then turn right onto Hiawatha Rd to enter back into CO and follow signs for CR 4, then CR4S.",Follow faint 2-track ~1.50 miles East of HWY 4S,,,,Tablet GPS and photos,,Paula Belcher,1,,Yes,No,No,plant vouchers; soil vouchers,28b7d0f5-118c-4f58-b2a3-8f0fc3fa154e,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:08 AM,alexa.armstrong7,6/16/2024 10:49:14 PM,-108.582096156,40.948632913
7,CO-LSFO-RW-23521,,No,,CO_NorthwestDO_2024,6,Random,Base,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat,Arid West,D,6018.95148070145,Rp1SS,,40.9712834685735,-107.997537004463,Madeline Catterson,Sampled - Data reviewed,5/7/2024 6:00:00 AM,,,,"Near the Little snake river, may need to shift plot center","From Baggs, WY (most direct from Fort Collins), go south on HWY 789 following signs for Colorado. HWY 789 turns into CR 13 in Colorado, continue south for 2 miles. Turn right (west) on CR 4. Continue west for ~20 miles and park at the junction with CR 92. Walk ~ 1.20 miles west of CR 4, avoiding the private land.","~1 mile from CR 4, additional mileage depending on route to avoid private land",,,,Tablet GPS and photos,,Paula Belcher,1,,Yes,No,No,plant vouchers; soil vouchers,aa29e075-b3b1-449c-be5e-ded46889554e,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:09 AM,alexa.armstrong7,6/16/2024 9:42:39 PM,-107.997537005,40.9712834690001
8,CO-LSFO-RW-23522,,No,,CO_NorthwestDO_2024,7,Random,Over,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat,Arid West,D,5925.486,Rp1SS,,40.8552325910072,-108.144403579554,Madeline Catterson,Rejected - Project manager approved,6/25/2024 6:00:00 AM,Non-target - Uplands,The site is not domianted by hydrophytic vegetation. The dominate species are greasewood and sagebrush.,"Although soil cracks were present at the time of the visit, the vegetation was not robust or different than the adjacent areas to be classified as non-wetland riparian.","Riparian scrub-shrub, potentially not target population. Not mapped on wetland layers.","From Baggs, WY (most direct from Fort Collins), go south on HWY 789 following signs for Colorado. HWY 789 turns into CR 13 in Colorado, continue south for 2 miles. Turn right (west) on CR 4. Continue west on CR 4 for ~22 miles then turn left (south) on CR 7. Follow for 1 miles then turn right (southwest) on CR 21. Stay on CR for ~4 miles. Park at the junction with CR 42. Hike 1.6 miles west from CR 21.  ",1.6 miles west of CR 21.,,,,Tablet GPS and photos,,Paula Belcher,3,,Yes,No,No,plant vouchers; soil vouchers,b62aee76-194a-4349-ac87-1c332bcc5709,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:11 AM,alexa.armstrong7,7/11/2024 4:37:16 PM,-108.144403579,40.8552325910001
9,CO-LSFO-RW-23523,,No,,CO_NorthwestDO_2024,8,Random,Over,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Routt,"Western Mountains, Valleys, and Coast",E,7232.53399138978,PEM1C,,40.9530621798017,-107.237590771957,Madeline Catterson,Sampled - Data reviewed,6/25/2024 6:00:00 AM,Reattempt - Different route or permission needed,Site not accessible without permission from private land owners.,Three different access attempts were made. Road via Grieves Ranch State Wildlife Area was impassible with rental truck.,"Mapped as Palustrine Emergent Persistent Seasonally Flooded- contains some woodies-Riparian scrub-shrub? Along cantting creek. Various faint two tracks leaving to site, can utilize depending on driving route","From Baggs, From Baggs, WY (most direct from Fort Collins, but can access from Craig), head east on hwy 70 for ~20 miles. Turn right (south) onto county road 710 that leads into Colorado and turns into CR 129. Follow this road east for ~11 miles until the locked ranch gate on the south side of the road (40.99552, -107.13144). The code is 2258, but contact John Kerr, john.kerr@threeforksranch.com, before sampling. Follow the road for ~10 miles until you hit a break in the road. Park and hike to the point.",~1.6 miles from unnamed road on Three Forks Ranch.,,,,Tablet GPS and photos,,Paula Belcher,"1st attempt hitch #3, sampled hitch #6",,Yes,No,No,plant vouchers; soil vouchers,5bd4c917-164e-4811-b6b2-bb3f158a8258,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:13 AM,alexa.armstrong7,9/2/2024 3:52:13 PM,-107.237590772,40.9530621800001
10,CO-LSFO-RW-23524,,No,,CO_NorthwestDO_2024,9,Random,Over,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat,Arid West,D,5962.52987709065,Rp1SS,,40.9428174005319,-108.058530927232,Madeline Catterson,Sampled - Data reviewed,5/27/2024 6:00:00 AM,,,,Riparian shrub/scrub. Heavy with woody species. Plot layout and access dependent on water level.,"From Baggs, WY (most direct from Fort Collins), go south on HWY 789 following signs for Colorado. HWY 789 turns into CR 13 in Colorado, continue south for 2 miles. Turn right (west) on CR 4. Continue west for ~20 miles, turn right (north) on CR 147. Follow for about 1 mile. Park off CR 147 and walk 1,000 ft west to the point.","~1,000 ft west of CR 147",,,,Tablet GPS and photos,,Paula Belcher,1,,Yes,No,No,plant vouchers; soil vouchers,80ebffdf-481d-44ad-97f5-592e6239857e,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:14 AM,alexa.armstrong7,6/16/2024 10:32:45 PM,-108.058530927,40.9428174010001
11,CO-LSFO-RW-23525,,No,,CO_NorthwestDO_2024,10,Random,Over,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat,"Western Mountains, Valleys, and Coast",E,6066.9240329411,PUBG,,40.414515765465,-107.801112776931,Madeline Catterson,Rejected - Project manager approved,6/25/2024 6:00:00 AM,"Permanently Inaccessible - Access denied, private",Both CR 30 and CR 90 ended before reaching sampable distance. Access via those private landowners are required to access the site.,"After talking with the nearest landowner, Gary Elegens, the road beyond CR 30 that would gain access within hikeable distance from the site does not exist. Gary gave the number of another ranch nearby, K Diamond Ranch, but after 4 calls, I never heard bac",Mapped as Palustrine Unconsolidated Bottom Intermittently Exposed. Potentially not target population. Unvegeated in aerial imagery. Playa? Along Yampa river,"From Craig, drive west on hwy 40 for 1 mile after passing the turn for hwy 13. Turn left (south) on CR 30. Stay on CR 30 for ~12 miles. Turn left (south) at about 40.42071, -107.743699. Unsure how long road will be driveable. ",Varies depending on how far we can take the road. 1.20 miles southwest from unnamed road off CR 30. ~850 ft of elevation change.,,,,Tablet GPS and photos,,Paula Belcher,1st attempt hitch #3,,Yes,No,No,plant vouchers; soil vouchers,798a8dd0-3068-4cb6-952c-3054580bcccd,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:15 AM,alexa.armstrong7,9/2/2024 7:21:49 PM,-107.801112777,40.4145157660001
12,CO-LSFO-RW-23526,,No,,CO_NorthwestDO_2024,11,Random,Over,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat,Arid West,D,6571.74559874676,Rp1EM,,40.9770885215483,-108.321348044355,Madeline Catterson,Rejected - Project manager approved,6/25/2024 6:00:00 AM,Non-target - Uplands,The site is not domianted by hydrophytic vegetation. The dominate species was Russian thistle.,No evidence of hydrological influence was present on the site.,Most likely not target population.,,,,,,Tablet GPS and photos,,Paula Belcher,3,,Yes,No,No,plant vouchers; soil vouchers,8a147c6d-2c50-4c12-aa25-fe2f9e111af4,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:17 AM,alexa.armstrong7,7/11/2024 4:42:12 PM,-108.321348044,40.977088521
13,CO-LSFO-RW-23527,,No,,CO_NorthwestDO_2024,12,Random,Over,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat,Arid West,D,5619.91001899493,Rp1FO,,40.723383518465,-108.763156704811,Madeline Catterson,Sampled - Data reviewed,6/25/2024 6:00:00 AM,,,,,,,,,,Tablet GPS and photos,,Paula Belcher,3,,Yes,No,No,plant vouchers; soil vouchers,5858a329-93b2-4e1c-8d84-f6dc15ad8a7d,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:18 AM,alexa.armstrong7,7/21/2024 11:08:36 PM,-108.763156704,40.723383519
