PointID,AdminState,District,FieldOffice,x,y
AA-STR-0005,AK,Fairbanks District Office,Eastern Interior Field Office,-141.846729245,64.1608290170001
AA-STR-0008,AK,Fairbanks District Office,Eastern Interior Field Office,-141.564989339,64.1086050170001
AA-STR-0015,AK,Fairbanks District Office,Eastern Interior Field Office,-141.525627425,64.1272969920001
AC-TR-16677,CA,Northern California District,Arcata Field Office,-123.83193492,39.7690544170001
AC-TR-24631,CA,Northern California District,Arcata Field Office,-123.840471723,39.835718989
AC-TR-24960,CA,Northern California District,Arcata Field Office,-124.140842217,40.691240995
AC-TR-37647,CA,Northern California District,Arcata Field Office,-123.813655282,41.006853537
AC-TR-38606,CA,Northern California District,Arcata Field Office,-124.0731417,40.144882108
AC-TR-53293,CA,Northern California District,Arcata Field Office,-124.031748621,40.6238598950001
AC-TR-62098,CA,Northern California District,Arcata Field Office,-123.813655325,41.006853526
AC-TR-68405,CA,Northern California District,Arcata Field Office,-123.802365667,40.997147162
AC-TR-86703,CA,Northern California District,Arcata Field Office,-124.3524891,40.260128395
AC-TR-90407,CA,Northern California District,Arcata Field Office,-124.308617079,40.2197339590001
AF-LS-1208,OR,Burns District Office,Burns Andrews Field Office,-118.679840407,42.0225417520001
AF-LS-1223,OR,Burns District Office,Burns Andrews Field Office,-118.555590138,42.5863432740001
AF-SS-1206,OR,Burns District Office,Burns Andrews Field Office,-118.524843728,42.678031334
AF-SS-1209,OR,Burns District Office,Burns Andrews Field Office,-118.490899929,42.707737379
AF-SS-1215,OR,Burns District Office,Burns Andrews Field Office,-118.574107434,42.592181096
AF-SS-1221,OR,Burns District Office,Burns Andrews Field Office,-118.504625916,42.7082023450001
AFR-LS-1289,OR,Burns District Office,Burns Andrews Field Office,-118.604329732,42.56825135
AN-TR-11337,AK,Anchorage District Office,Anchorage Field Office,-149.7612845,61.1692857100001
AN-TR-12968,AK,Anchorage District Office,Anchorage Field Office,-149.7803063,61.16698003
AN-TR-14518,AK,Anchorage District Office,Anchorage Field Office,-149.8363541,61.19943378
AN-TR-14530,AK,Anchorage District Office,Anchorage Field Office,-149.7790245,61.1762774100001
AN-TR-15114,AK,Anchorage District Office,Anchorage Field Office,-148.987682086,61.583049196
AN-TR-15126,AK,Anchorage District Office,Anchorage Field Office,-149.2904033,61.5486735900001
AN-TR-16690,AK,Anchorage District Office,Anchorage Field Office,-149.3142865,61.567369479
AN-TR-17347,AK,Anchorage District Office,Anchorage Field Office,-149.2426917,61.63222883
