county,state,neighbor_county,neighbor_state
Ada,ID,Ada,ID
Ada,ID,Boise,ID
Ada,ID,Canyon,ID
Ada,ID,Elmore,ID
Ada,ID,Gem,ID
Ada,ID,Owyhee,ID
Adams,ID,Adams,ID
Adams,ID,Gem,ID
Adams,ID,Idaho,ID
Adams,ID,Valley,ID
Adams,ID,Washington,ID
Adams,ID,Baker,OR
Adams,ID,Wallowa,OR
Bannock,ID,Bannock,ID
Bannock,ID,Bingham,ID
Bannock,ID,Caribou,ID
Bannock,ID,Franklin,ID
Bannock,ID,Oneida,ID
Bannock,ID,Power,ID
Bear Lake,ID,Bear Lake,ID
Bear Lake,ID,Caribou,ID
Bear Lake,ID,Franklin,ID
Bear Lake,ID,Cache,UT
Bear Lake,ID,Rich,UT
Bear Lake,ID,Lincoln,WY
Benewah,ID,Benewah,ID
Benewah,ID,Kootenai,ID
Benewah,ID,Latah,ID
Benewah,ID,Shoshone,ID
Benewah,ID,Spokane,WA
Benewah,ID,Whitman,WA
Bingham,ID,Bannock,ID
Bingham,ID,Bingham,ID
Bingham,ID,Blaine,ID
Bingham,ID,Bonneville,ID
Bingham,ID,Butte,ID
Bingham,ID,Caribou,ID
Bingham,ID,Jefferson,ID
Bingham,ID,Power,ID
Blaine,ID,Bingham,ID
Blaine,ID,Blaine,ID
Blaine,ID,Butte,ID
Blaine,ID,Camas,ID
Blaine,ID,Cassia,ID
Blaine,ID,Custer,ID
Blaine,ID,Elmore,ID
Blaine,ID,Lincoln,ID
Blaine,ID,Minidoka,ID
Blaine,ID,Power,ID
Boise,ID,Ada,ID
Boise,ID,Boise,ID
Boise,ID,Custer,ID
Boise,ID,Elmore,ID
Boise,ID,Gem,ID
Boise,ID,Valley,ID
Bonner,ID,Bonner,ID
Bonner,ID,Boundary,ID
Bonner,ID,Kootenai,ID
Bonner,ID,Shoshone,ID
Bonner,ID,Lincoln,MT
Bonner,ID,Sanders,MT
Bonner,ID,Pend Oreille,WA
Bonner,ID,Spokane,WA
Bonneville,ID,Bingham,ID
Bonneville,ID,Bonneville,ID
Bonneville,ID,Caribou,ID
Bonneville,ID,Jefferson,ID
Bonneville,ID,Madison,ID
Bonneville,ID,Teton,ID
Bonneville,ID,Lincoln,WY
Bonneville,ID,Teton,WY
Boundary,ID,Bonner,ID
Boundary,ID,Boundary,ID
Boundary,ID,Lincoln,MT
Boundary,ID,Pend Oreille,WA
Butte,ID,Bingham,ID
Butte,ID,Blaine,ID
Butte,ID,Butte,ID
Butte,ID,Clark,ID
Butte,ID,Custer,ID
Butte,ID,Jefferson,ID
Butte,ID,Lemhi,ID
Camas,ID,Blaine,ID
Camas,ID,Camas,ID
Camas,ID,Elmore,ID
Camas,ID,Gooding,ID
Camas,ID,Lincoln,ID
Canyon,ID,Ada,ID
Canyon,ID,Canyon,ID
Canyon,ID,Gem,ID
Canyon,ID,Owyhee,ID
Canyon,ID,Payette,ID
Canyon,ID,Malheur,OR
Caribou,ID,Bannock,ID
Caribou,ID,Bear Lake,ID
Caribou,ID,Bingham,ID
Caribou,ID,Bonneville,ID
