PointID,AdminState,District,FieldOffice,x,y
AA-STR-0001,AK,Fairbanks District Office,Eastern Interior Field Office,-141.8044649,64.16006817
AA-STR-0005,AK,Fairbanks District Office,Eastern Interior Field Office,-141.846729245,64.1608290170001
AA-STR-0008,AK,Fairbanks District Office,Eastern Interior Field Office,-141.564989339,64.1086050170001
AA-STR-0015,AK,Fairbanks District Office,Eastern Interior Field Office,-141.525627425,64.1272969920001
AB-LS3-9255,AK,Fairbanks District Office,Eastern Interior Field Office,-141.1995774,66.26756951
AB-LS3-9262,AK,Fairbanks District Office,Eastern Interior Field Office,-143.1911904,65.60973145
AB-LS3-9263,AK,Fairbanks District Office,Eastern Interior Field Office,-141.5129098,65.96946453
AB-LS3-9266,AK,Fairbanks District Office,Eastern Interior Field Office,-142.4197941,65.53457127
AB-LS3-9267,AK,Fairbanks District Office,Eastern Interior Field Office,-141.2526921,66.70435463
AB-LS3-9272,AK,Fairbanks District Office,Eastern Interior Field Office,-141.9919281,66.55274311
AB-LS3-9276,AK,Fairbanks District Office,Eastern Interior Field Office,-141.4461547,66.30220296
AB-LS3-9281,AK,Fairbanks District Office,Eastern Interior Field Office,-142.6900006,65.93902474
AB-LS3-9283,AK,Fairbanks District Office,Eastern Interior Field Office,-141.9480316,66.82440515
AB-LS3-9284,AK,Fairbanks District Office,Eastern Interior Field Office,-141.6458884,66.63447401
AB-LS3-9285,AK,Fairbanks District Office,Eastern Interior Field Office,-141.7996746,65.85028857
AB-LS3-9289,AK,Fairbanks District Office,Eastern Interior Field Office,-142.4339585,65.6469772
AB-LS3-9291,AK,Fairbanks District Office,Eastern Interior Field Office,-141.0640547,65.77299414
AB-LS3-9292,AK,Fairbanks District Office,Eastern Interior Field Office,-141.2067157,66.49152118
AB-LS3-9293,AK,Fairbanks District Office,Eastern Interior Field Office,-141.599621,65.75032612
AB-LS3-9296,AK,Fairbanks District Office,Eastern Interior Field Office,-141.7063732,66.21726057
AB-LS3-9298,AK,Fairbanks District Office,Eastern Interior Field Office,-143.724262,65.67016817
AB-LS3-9299,AK,Fairbanks District Office,Eastern Interior Field Office,-141.3284866,66.24023248
AB-LS3-9302,AK,Fairbanks District Office,Eastern Interior Field Office,-143.1734688,65.81845598
AB-LS3-9303,AK,Fairbanks District Office,Eastern Interior Field Office,-141.391249,65.83899477
