PointID,AdminState,District,FieldOffice,x,y
BS-LS-1016,AK,Anchorage District Office,Anchorage Field Office,-159.131906331,65.6769180640001
BS-LS-1028,AK,Anchorage District Office,Anchorage Field Office,-159.357220077,65.4368601790001
BS-LS-1072,AK,Anchorage District Office,Anchorage Field Office,-159.582291852,65.8053739440001
BS-LS-1085,AK,Anchorage District Office,Anchorage Field Office,-158.57177038,61.9083260770001
BS-LS-1094,AK,Anchorage District Office,Anchorage Field Office,-159.602400094,64.145820035
BS-RV-1032,AK,Anchorage District Office,Anchorage Field Office,-158.703865548,65.211215952
BS-RV-1042,AK,Anchorage District Office,Anchorage Field Office,-161.128033452,61.9230243170001
BS-RV-1117,AK,Anchorage District Office,Anchorage Field Office,-161.208300433,62.7825801760001
BS-SS-1048,AK,Anchorage District Office,Anchorage Field Office,-158.777935205,65.527661553
BS-SS-1060,AK,Anchorage District Office,Anchorage Field Office,-158.737577987,66.0173840300001
BS-SS-1064,AK,Anchorage District Office,Anchorage Field Office,-158.575169511,65.7641072590001
BS-SS-1068,AK,Anchorage District Office,Anchorage Field Office,-159.713641217,63.9190257670001
BS-SS-1074,AK,Anchorage District Office,Anchorage Field Office,-159.68297945,63.5791753020001
BS-SS-1082,AK,Anchorage District Office,Anchorage Field Office,-158.750513512,65.1274484350001
BS-SS-1092,AK,Anchorage District Office,Anchorage Field Office,-160.141520953,64.3910180070001
BS-SS-1100,AK,Anchorage District Office,Anchorage Field Office,-158.548289461,65.966885335
CBN-LS-1007,AK,Fairbanks District Office,Central Yukon Field Office,-149.513419297,68.440809018
CBN-RV-1005,AK,Fairbanks District Office,Central Yukon Field Office,-149.333895971,68.561004601
CBN-RV-1009,AK,Fairbanks District Office,Central Yukon Field Office,-149.348873193,68.573918963
CBN-RV-1010,AK,Fairbanks District Office,Central Yukon Field Office,-149.44519034,68.669660901
CBN-SS-1000,AK,Fairbanks District Office,Central Yukon Field Office,-148.7316515,68.6806952900001
CBN-SS-1008,AK,Fairbanks District Office,Central Yukon Field Office,-148.838158697,68.691887035
CBN-SS-1011,AK,Fairbanks District Office,Central Yukon Field Office,-149.574526167,68.245748372
CBN-SS-1012,AK,Fairbanks District Office,Central Yukon Field Office,-149.644359862,68.544769897
CBN-SS-1017,AK,Fairbanks District Office,Central Yukon Field Office,-149.393701646,68.5116192400001
CBN-SS-1019,AK,Fairbanks District Office,Central Yukon Field Office,-149.397083439,68.35692299
CBS-SS-1010,AK,Fairbanks District Office,Central Yukon Field Office,-149.618006895,67.725415518
CBS-SS-1015,AK,Fairbanks District Office,Central Yukon Field Office,-149.533607156,68.0087982220001
CY-TR-1467,AK,Fairbanks District Office,Central Yukon Field Office,-149.773312833,67.513306877
CY-TR-20319,AK,Fairbanks District Office,Central Yukon Field Office,-149.740281681,67.5148753980001
CY-TR-28952,AK,Fairbanks District Office,Central Yukon Field Office,-149.694755429,67.518033195
CY-TR-3831,AK,Fairbanks District Office,Central Yukon Field Office,-149.675358873,67.4846138140001
PU-LS-1018,AK,Fairbanks District Office,Central Yukon Field Office,-156.31297624,64.751054991
PU-LS-1027,AK,Fairbanks District Office,Central Yukon Field Office,-153.136434557,65.604099509
PU-LS-1035,AK,Fairbanks District Office,Central Yukon Field Office,-153.501655015,65.59445451
PU-LS-1052,AK,Fairbanks District Office,Central Yukon Field Office,-157.040057251,66.2167426560001
PU-RV-1050,AK,Fairbanks District Office,Central Yukon Field Office,-153.499331452,64.1620720990001
PU-RV-1056,AK,Fairbanks District Office,Central Yukon Field Office,-155.716116529,65.0583104460001
PU-SS-1002,AK,Fairbanks District Office,Central Yukon Field Office,-155.539131227,64.9523090380001
PU-SS-1008,AK,Fairbanks District Office,Central Yukon Field Office,-156.612317306,66.320030258
PU-SS-1020,AK,Fairbanks District Office,Central Yukon Field Office,-157.454040249,66.238209225
DKH-LS-1000,AK,Anchorage District Office,Glennallen Field Office,-150.549304043,63.5352202760001
DKH-LS-1008,AK,Anchorage District Office,Glennallen Field Office,-150.996256978,63.6721451350001
DKH-LS-1010,AK,Anchorage District Office,Glennallen Field Office,-150.470663778,63.661508799
DKH-SS-1002,AK,Anchorage District Office,Glennallen Field Office,-150.171435817,63.864629178
DKH-TR-1003,AK,Anchorage District Office,Glennallen Field Office,-150.871986733,63.5455906380001
DKH-TR-1067,AK,Anchorage District Office,Glennallen Field Office,-150.933767605,63.5986231320001
DKH-TR-1336,AK,Anchorage District Office,Glennallen Field Office,-150.943632262,63.5156639370001
