OBJECTID,OrderCode,PointID,StreamName,StratumName,PointType,DesignLat,DesignLong,OfficeEvaluator,OfficeEvalDate,PreviouslyEvaluated,MergedPointID,MergedMonProgram,EvalStatus,ReasonNotSampled,NotSampledEvidence1,NotSampledEvidence2,BLMAdviceRequested,OfficeEvalComments,ContactInfoForAccess,NOCComments,Trip,TripNotes,CollectTNTP,CollectTurbidity,CollectThalwegDepthProfile,CollectBankAngle,CollectExtraBankPlots,CollectPoolTailFines,CollectNativeWoody,CollectGreenlineVegComp,CollectVegComplexity,CollectCoreSubset1,CollectCoreSubset2,CollectCoreSubset3,Supplementals,AdminState,District,FieldOffice,Project,BoatingFilter,Extra1,Extra2,created_user,created_date,last_edited_user,last_edited_date,GlobalID,SpeciesState,OriginalDesign,x,y
1016,1,CBN-LS-1007,,BROOKS NORTH-Large Streams (2&3),Base,68.440776,-149.513878,Erica Lamb,2/15/2022 9:00:00 AM,Yes,,,Sampled- Data summary reviewed,,,,No advice requested,Large raging stream. Had to abort sampling an hour after flagging due to heavy smoke and poor air quality. Tough wading especially near bottom of reach. Would recommend returning during lower flow.,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:20 PM,kpoole7,9/3/2024 4:10:48 PM,234dd42d-6144-4b6b-b2eb-42981ef7f8be,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.513878,68.440776
1017,2,CBN-LS-1014,,BROOKS NORTH-Large Streams (2&3),Base,68.405679,-149.25553,David Esse,7/23/2019 12:00:00 AM,Yes,,,Sampled- Data summary reviewed,,,,No advice requested,Large stream with slick boulders and lots of side channels.,,,,,No,Yes,No,,No,No,No,No,Yes,,,,,AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:22 PM,kpoole7,4/4/2024 11:11:42 PM,62f6ea60-e711-4c8e-ac8c-2d00744585e9,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.25553,68.4056790000001
1018,3,CBN-LS-1018,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.634023,-149.419647,Adam Scheirer,4/5/2024 6:00:00 AM,No,,,Oversample,,,,No advice requested,"Looks to have water fairly late into the season.  Site successfully sampled late July 2022. Directions: From Hwy 134 turn north at (42.48313, -110.21428) onto South Piney West road.  After 2.6 mi stay straight at intersection ().  Continue for another 0.5 mi and stay and straight again.  After 4 mi turn right at fork (42.49911, -110.32997) and continue for 6.5 mi on main road. At (42.49468, -110.44150) there may be a two track going around gas well leading to site,  if not, park here and hike remaining 1.4 mi to site.  ",,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:24 PM,adam.scheirer,4/5/2024 9:06:31 PM,bf763c6c-09a0-45bb-87e7-4983a3033e5c,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.419647,68.6340230000001
1019,4,CBN-LS-1021,Kuparuk River,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.538799,-149.263204,,,No,,,Ready to field visit,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:26 PM,desse@blm.gov_BLM_EGIS,10/8/2024 6:49:58 PM,7d4e6822-c1be-4e2a-b36e-22a7c8663abd,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.263204,68.538799
1020,5,CBN-LS-1023,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.172351,-149.385279,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:28 PM,kpoole7,4/4/2024 11:11:42 PM,cd47a8bd-fbbf-4687-b008-95c084daa67c,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.385279,68.172351
1021,6,CBN-LS-1028,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.556391,-149.539994,,,No,,,Oversample,,,,No advice requested,Consider field visit. Confused on why this is written off? Looks like this just has an island. Should visit unless I'm missing something?,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:30 PM,kpoole7,4/4/2024 11:11:42 PM,a36ed96f-9836-43c4-b523-90d4d55db435,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.539994,68.5563910000001
1022,7,CBN-LS-1032,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.678166,-149.119176,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:32 PM,kpoole7,4/4/2024 11:11:42 PM,7b176208-06a6-4549-8c1d-e03911ba221e,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.119176,68.678166
1023,8,CBN-LS-1039,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.22565,-149.588139,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:34 PM,kpoole7,4/4/2024 11:11:42 PM,a78b3405-572a-40fe-b00e-fad193b81e0f,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.588139,68.22565
1024,9,CBN-LS-1040,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.486709,-149.641395,,,No,,,Oversample,,,,No advice requested,"Reconsider this, looks like it falls on a drainage, but can't tell if the drainage supports water? If we think it's dry write off as non-target dry, but this isn't a map error. If unsure, consider field visit",,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:36 PM,kpoole7,4/4/2024 11:11:42 PM,78e5b8f9-918f-4073-a983-722901b441f9,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.641395,68.4867090000001
1025,10,CBN-LS-1042,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.694777,-149.474507,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:38 PM,kpoole7,4/4/2024 11:11:42 PM,f32d815e-9b6c-4929-8965-d7ed525be4d5,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.474507,68.694777
