OBJECTID,PlotID,Project,FieldEvalDate,VisitType,StaticEvaluationID,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
2,CA-CDD-TW-22008,CA_DesertDO_2024,4/8/2024 4:36:31 PM,Calibration Visit,CA-CDD-TW-22008_2024-04-08,4978f668-1d02-46b5-b178-4576ca77ca50,mheine7,4/8/2024 4:36:41 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:02:58 PM,-116.399213590213,35.0418490279892
3,CA-CDD-TW-22013,CA_DesertDO_2024,4/9/2024 5:21:38 PM,Full Sample Visit,CA-CDD-TW-22013_2024-04-09,ee1a11c4-70a9-4441-9f14-c3f261741927,mheine7,4/9/2024 5:21:41 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:00 PM,-116.348772278813,35.0256535201977
4,CA-CDD-TW-22008,CA_DesertDO_2024,4/8/2024 4:36:41 PM,Full Sample Visit,CA-CDD-TW-22008_2024-04-08,5252cbcd-27e7-42c6-806d-093b892ed77f,ahoeft4,4/8/2024 4:36:49 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:02 PM,-116.400628099917,35.0426262599761
5,CA-CDD-TW-22008,CA_DesertDO_2024,4/8/2024 10:28:37 PM,Calibration Visit,CA-CDD-TW-22008_2024-04-08,8378d1ef-66ab-41b0-aca2-aee54af44703,ahoeft4,4/8/2024 10:28:48 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:03 PM,-116.400628099917,35.0426262599761
6,CA-CDD-TW-22012,CA_DesertDO_2024,4/9/2024 4:48:19 PM,Full Sample Visit,CA-CDD-TW-22012_2024-04-09,c4e54273-54e7-40f1-9eb3-154bb9e1dc76,ahoeft4,4/9/2024 4:48:24 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:05 PM,-116.366003800322,35.0280648998589
7,CA-CDD-TW-22009,CA_DesertDO_2024,4/9/2024 4:51:22 PM,Full Sample Visit,CA-CDD-TW-22009_2024-04-09,ca6d14e5-70f9-438c-a8ec-51947243996e,ahoeft4,4/9/2024 4:51:33 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:07 PM,-116.397169770228,35.0404994760183
8,CA-CDD-TW-22008,CA_DesertDO_2024,4/8/2024 5:48:01 PM,Calibration Visit,CA-CDD-TW-22008_2024-04-08,92c10821-ffa2-470d-ab78-71297f8ccacd,lmartin4,4/8/2024 5:48:11 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:08 PM,-116.400628099917,35.0426262599761
9,CA-CDD-TW-22008,CA_DesertDO_2024,4/8/2024 10:03:05 PM,Calibration Visit,CA-CDD-TW-22008_2024-04-08,249c0bda-0806-4fa9-b9af-91e65da6636b,lmartin4,4/8/2024 10:03:13 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:10 PM,-116.400628099917,35.0426262599761
10,CA-CDD-TW-22012,CA_DesertDO_2024,4/9/2024 4:51:46 PM,Full Sample Visit,CA-CDD-TW-22012_2024-04-09,74bd4c11-75a5-46d0-82a6-b81ab19699b6,lmartin4,4/9/2024 4:52:01 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:11 PM,-116.366003800322,35.0280648998589
11,CA-CDD-TW-22008,CA_DesertDO_2024,4/8/2024 6:03:08 PM,Calibration Visit,CA-CDD-TW-22008_2024-04-08,b54a0c25-3770-4998-9617-79a49283eb90,ntshaw1999,4/8/2024 6:03:11 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:13 PM,-116.400628099917,35.0426262599761
12,CA-CDD-TW-22008,CA_DesertDO_2024,4/8/2024 4:36:39 PM,Calibration Visit,CA-CDD-TW-22008_2024-04-08,2993a6f7-71a3-4c8d-b3f3-e95bb87ecf99,ahoeft4,4/8/2024 4:36:55 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:15 PM,-116.400628099917,35.0426262599761
13,CA-CDD-TW-22008,CA_DesertDO_2024,4/8/2024 9:35:42 PM,Calibration Visit,CA-CDD-TW-22008_2024-04-08,6a344d59-6057-409f-8314-ab67135ea50d,ahoeft4,4/8/2024 9:35:56 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:17 PM,-116.400628099917,35.0426262599761
14,CA-CDD-TW-22009,CA_DesertDO_2024,4/9/2024 4:33:03 PM,Full Sample Visit,CA-CDD-TW-22009_2024-04-09,55a6de22-a621-4e1f-aaaa-500a9d1e32aa,ahoeft4,4/9/2024 4:33:15 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:18 PM,-116.397169300409,35.0404977402562
15,CA-CDD-TW-22013,CA_DesertDO_2024,4/9/2024 10:25:46 PM,Full Sample Visit,CA-CDD-TW-22013_2024-04-09,26405831-d093-4907-9694-2c3bb2d25424,ahoeft4,4/9/2024 10:25:52 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:20 PM,-116.348757600341,35.0256773500638
16,CA-CDD-TW-22008,CA_DesertDO_2024,4/8/2024 4:39:44 PM,Calibration Visit,CA-CDD-TW-22008_2024-04-08,26cd0255-8858-438d-8f84-653bda37aebe,king.b5563,4/8/2024 4:39:48 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:21 PM,-116.40062869011,35.0426265703459
17,CA-CDD-TW-22008,CA_CentralDO_2024,4/8/2024 5:46:24 PM,Calibration Visit,CA-CDD-TW-22008_2024-04-08,e0de0c25-99fe-430f-81c0-2afb8c932c3e,king.b5563,4/8/2024 5:46:28 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:23 PM,-116.39921284551,35.0420532102937
18,CA-CDD-TW-22013,CA_DesertDO_2024,4/9/2024 5:31:08 PM,Full Sample Visit,CA-CDD-TW-22013_2024-04-09,19c579e1-fda9-4f96-a514-25c97ee8032a,king.b5563,4/9/2024 5:31:12 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:25 PM,-116.348757600341,35.0256773500638
19,CA-CDD-TW-24003,CA_DesertDO_2024,4/19/2024 5:21:26 PM,Full Sample Visit,CA-CDD-TW-24003_2024-04-19,53288a20-c1d1-430c-b097-53e0e1173834,mheine7,4/19/2024 5:21:34 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:26 PM,-115.186068719197,32.7104366240623
20,CA-CDD-TW-24073,CA_DesertDO_2024,4/22/2024 7:22:10 PM,Full Sample Visit,CA-CDD-TW-24073_2024-04-22,6b73ffe6-ee29-484b-9050-d17800d76983,king.b5563,4/22/2024 7:22:29 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:28 PM,-114.724644443592,34.9373249996784
21,CA-CDD-TW-22006,CA_DesertDO_2024,4/22/2024 2:57:32 PM,Full Sample Visit,CA-CDD-TW-22006_2024-04-22,285b6469-b85a-4361-8a03-4e0d68bdf5c7,ahoeft4,4/22/2024 2:57:44 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:29 PM,-116.236513100201,35.8791672900442
22,CA-CDD-TW-22014,CA_DesertDO_2024,4/22/2024 5:38:59 PM,Full Sample Visit,CA-CDD-TW-22014_2024-04-22,d90f2b72-2dbb-4716-aa68-621901d27559,ahoeft4,4/22/2024 5:39:02 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:31 PM,-116.240290899551,35.8772135603543
23,CA-CDD-TW-22005,CA_DesertDO_2024,4/23/2024 3:29:28 PM,Full Sample Visit,CA-CDD-TW-22005_2024-04-23,9107fbe7-a82b-4654-a971-e74be9534fe9,ahoeft4,4/23/2024 3:29:31 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:33 PM,-116.234837300225,35.8837733402937
24,CA-CDD-TW-24055,CA_DesertDO_2024,4/19/2024 6:54:16 PM,Full Sample Visit,CA-CDD-TW-24055_2024-04-19,bb281015-df89-4a18-a4fa-966fc7e0bc3c,ahoeft4,4/19/2024 6:54:22 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:34 PM,-117.401159999644,35.9316000002083
25,CA-CDD-TW-24054,CA_DesertDO_2024,4/20/2024 5:36:22 PM,Full Sample Visit,CA-CDD-TW-24054_2024-04-20,7975278e-f606-41be-934a-4b687a5baac7,ahoeft4,4/20/2024 5:40:46 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:36 PM,-117.386508047067,35.9345195957397
26,CA-CDD-TW-22001,CA_DesertDO_2024,4/21/2024 8:39:21 PM,Full Sample Visit,CA-CDD-TW-22001_2024-04-21,45d74fbc-7ed0-407b-b119-e231b9841ee8,ahoeft4,4/21/2024 8:39:52 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:38 PM,-116.236220599761,35.8811450799967
27,CA-CDD-TW-22001,CA_DesertDO_2024,4/21/2024 8:45:48 PM,Full Sample Visit,CA-CDD-TW-22001_2024-04-21,6339151c-2ad6-453d-a3f0-92a2583ae3a8,ahoeft4,4/21/2024 8:46:14 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:39 PM,-116.236220599761,35.8811450799967
28,CA-CDD-TW-22006,CA_DesertDO_2024,4/22/2024 2:59:06 PM,Full Sample Visit,CA-CDD-TW-22006_2024-04-22,e73fabb4-207a-4901-8bf4-c287b2f061e3,ahoeft4,4/22/2024 2:59:25 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:41 PM,-116.236513100201,35.8791672900442
29,CA-CDD-TW-22014,CA_DesertDO_2024,4/22/2024 5:19:07 PM,Full Sample Visit,CA-CDD-TW-22014_2024-04-22,0e84b4cc-8dd0-4eb8-b592-e57b94eb869a,ahoeft4,4/22/2024 5:19:32 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:43 PM,-116.240290899551,35.8772135603543
30,CA-CDD-TW-22005,CA_DesertDO_2024,4/23/2024 3:49:05 PM,Full Sample Visit,CA-CDD-TW-22005_2024-04-23,b667520b-7ad3-4d67-bae8-39c99e24a3b5,ahoeft4,4/23/2024 3:49:11 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:44 PM,-116.234837300225,35.8837733402937
31,CA-CDD-TW-23024,CA_DesertDO_2024,4/22/2024 5:34:37 PM,Full Sample Visit,CA-CDD-TW-23024_2024-04-22,dd2ae390-9c24-4ccb-a545-92ac0e26007f,ahoeft4,4/22/2024 5:35:22 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:46 PM,-116.233832399832,35.8849061499174
32,CA-CDD-TW-22002,CA_DesertDO_2024,4/23/2024 3:49:57 PM,Full Sample Visit,CA-CDD-TW-22002_2024-04-23,aaeaed6f-288e-48e9-a1b2-f457821ffdcc,ahoeft4,4/23/2024 3:50:00 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:47 PM,-116.233393599765,35.8848859502337
33,CA-CDD-TW-23024,CA_DesertDO_2024,4/22/2024 5:38:45 PM,Full Sample Visit,CA-CDD-TW-23024_2024-04-22,a0189b0c-98bd-4e89-abcd-d3f7bc1f3302,lmartin4,4/22/2024 5:39:09 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:49 PM,-116.233832399832,35.8849061499174
34,CA-CDD-TW-22002,CA_DesertDO_2024,4/23/2024 3:56:03 PM,Full Sample Visit,CA-CDD-TW-22002_2024-04-23,4368b624-96a1-4a40-9fd5-2003fb54a405,lmartin4,4/23/2024 3:56:19 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:50 PM,-116.233393599765,35.8848859502337
35,CA-CDD-TW-24062,CA_DesertDO_2024,4/19/2024 7:12:14 PM,Full Sample Visit,CA-CDD-TW-24062_2024-04-19,7d37fac0-db3c-4523-be5c-0c0fc280acbe,lmartin4,4/19/2024 7:12:31 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:52 PM,-117.393002256615,35.9782842362362
36,CA-CDD-TW-24056,CA_DesertDO_2024,4/20/2024 7:26:20 PM,Full Sample Visit,CA-CDD-TW-24056_2024-04-20,e42d471c-e330-43ec-aac2-aeb1b9f1af62,lmartin4,4/20/2024 7:26:33 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:53 PM,-117.414509999625,35.9100300001593
37,CA-CDD-TW-24060,CA_DesertDO_2024,4/21/2024 6:32:48 PM,Full Sample Visit,CA-CDD-TW-24060_2024-04-21,daf6428d-808e-4a74-b1b9-72fb70d13704,lmartin4,4/21/2024 6:32:51 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:55 PM,-117.214352335938,36.1203630060413
38,CA-CDD-TW-24074,CA_DesertDO_2024,4/23/2024 5:34:02 PM,Full Sample Visit,CA-CDD-TW-24074_2024-04-23,ce32bf17-9a62-4a59-a3cd-5e4eccb23be0,mheine7,4/23/2024 5:34:09 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:57 PM,-115.864961111369,35.4422110002911
