objectid,GlobalID,SpecRichDetailEvaluationID,RecKey,Select Plant Species,Was voucher specimen collected for this species?,Collection Number,UnknownCode,UnknownCodeKey,Species Abundance,ParentGlobalID,CreationDate,Creator,EditDate,Editor
2,181f8909-242c-4dbf-9484-b98f1acd2b52,CA-CDD-TW-22008_2024-04-08,,DISP,No,,,,3,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:35 PM,kmartin@blm.gov_BLM_EGIS
3,5f7af9ce-0fa4-4ac7-816c-70823c8a9b11,CA-CDD-TW-22008_2024-04-08,,PLSE,No,,,,3,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:37 PM,kmartin@blm.gov_BLM_EGIS
4,854f2abc-e828-4bb4-83f8-4a2e31ceb239,CA-CDD-TW-22008_2024-04-08,,SAGO,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:38 PM,kmartin@blm.gov_BLM_EGIS
5,f10c881c-8e9c-469f-89b7-093092dcd5ac,CA-CDD-TW-22008_2024-04-08,,JUARL,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:39 PM,kmartin@blm.gov_BLM_EGIS
6,9b644244-84b9-4fcc-a4d0-d8bfba8e6270,CA-CDD-TW-22008_2024-04-08,,ANCA10,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:41 PM,kmartin@blm.gov_BLM_EGIS
7,d697393c-b2fa-4d38-bee2-d41edb2b1ab1,CA-CDD-TW-22008_2024-04-08,,PRPU,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:43 PM,kmartin@blm.gov_BLM_EGIS
8,b541a3ac-e8f0-49d2-b62a-8c44bc30b353,CA-CDD-TW-22008_2024-04-08,,TARA,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:45 PM,kmartin@blm.gov_BLM_EGIS
9,b5e35a0b-bd87-447a-b602-2b1817ee7f78,CA-CDD-TW-22008_2024-04-08,,LESQ,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:47 PM,kmartin@blm.gov_BLM_EGIS
10,e43041b2-7b01-49a5-9991-898ad0bd9800,CA-CDD-TW-22008_2024-04-08,,CLOB,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:48 PM,kmartin@blm.gov_BLM_EGIS
11,d32f62af-01d7-4bc5-96a9-2320d18ed82d,CA-CDD-TW-22008_2024-04-08,,ATLE,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:50 PM,kmartin@blm.gov_BLM_EGIS
12,046cea09-789d-404b-8909-d2f897cf49fb,CA-CDD-TW-22008_2024-04-08,,SCAR,No,,,,2,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:51 PM,kmartin@blm.gov_BLM_EGIS
13,b0023d90-ef34-492d-b589-280495a51577,CA-CDD-TW-22008_2024-04-08,,RANE,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:53 PM,kmartin@blm.gov_BLM_EGIS
